id,text,sentiment,path,hashtag,inimagetext,pred,pred_raw
1320101836494413825,#BallandoConLeStelle @mariotto8 complimenti.... 2 a Rocca e 10 a Costantino... https://t.co/xBhesxogGe,negative,..\data\ballandoconlestelle\images\1320101836494413825.png,ballandoconlestelle,NO MARIA IO ESCO,negative,[0.46319193 0.22563618 0.3111719 ]
1271894697418555393,#amici19 le maschere cadono sempre prima o poi https://t.co/6x7maU5ABF,negative,..\data\amici19\images\1271894697418555393.png,amici19,i,negative,[0.34965834 0.33656305 0.3137786 ]
1320102394362056713,L’ego di Selvaggia #BallandoConLeStelle https://t.co/8hzDZ2FbuE,negative,..\data\ballandoconlestelle\images\1320102394362056713.png,ballandoconlestelle,id TendiStai in questo pianeta o no,positive,[0.44986844 0.07890713 0.4712245 ]
1270112179367411714,"#amici19 Quando si ha qualcosa da dire ad una persona una volta si  prendeva il telefono, niente ora solo stories Instagram https://t.co/TfqeZ6ZWj5",negative,..\data\amici19\images\1270112179367411714.png,amici19, ,neutral,[0.30934784 0.60201514 0.08863699]
1320119274464227331,"Perdonatemi ma devo dirlo:
CHANEL vs MERCATO DEL PESCE #BallandoConLeStelle https://t.co/55uxPUpwj3",negative,..\data\ballandoconlestelle\images\1320119274464227331.png,ballandoconlestelle, ,negative,[0.71641296 0.0785847  0.20500244]
1320102187201155077,"È tutto chiaro ora...
#BallandoConLeStelle https://t.co/nQgXYVFL4j",negative,..\data\ballandoconlestelle\images\1320102187201155077.png,ballandoconlestelle,bOCAINI,negative,[0.8793707  0.11236162 0.00826771]
1268560886194675712,Osservo il caso nel fandom di #chediociaiuti e penso a quando toccherà a me leggere dello schifo che avranno in serbo per #unpassodalcielo https://t.co/j39DPUOax4,negative,..\data\chediociaiuti\images\1268560886194675712.png,chediociaiuti, ,negative,[0.80540484 0.16561933 0.02897582]
1320102522514702338,Mariotto deve andare in manicomio #BallandoConLeStelle https://t.co/F2vI0cVygm,negative,..\data\ballandoconlestelle\images\1320102522514702338.png,ballandoconlestelle, ,negative,[9.9822706e-01 1.4864178e-03 2.8650934e-04]
1255198786755932163,"@bullshitsmood @nah96nah HAI RAGIONE. QUI ABBIAMO LE SUORE DI CLAUSURA🤡
QUANDO VEDONO UN BEL RAGAZZO NON GLI METTONO LIKE E NON COMMENTANO CON I ❤️ 
🤡🤡🤡🤡 #Amici19 #Javier #Talisa https://t.co/fEXgsZ8puY",negative,..\data\amici19\images\1255198786755932163.png,amici19,Hallelujah,negative,[0.9511395  0.00689844 0.04196212]
1255193986416943106,"@nah96nah TUTTO QUESTO NON È NORMALE. QUESTA È MANCANZA DI RISPETTO,  È DIFFAMAZIONE VERSO UN RAGAZZO CHE NON FA NULLA DI MALE E CHE DEVE VEDERSI COSTANTEMENTE GIUDICATO DA PERSONE PSICOPATICHE CHE NON SANNO NULLA E CHE NON FANNO CHE STALKERARLO. ADESSO BASTA! #Amici19 #Javier #Talisa https://t.co/vI0kiltK5P",negative,..\data\amici19\images\1255193986416943106.png,amici19, ,negative,[0.9854247  0.00398198 0.01059336]
1320127149970436102,"Ma possibile che dopo 15 anni Carolyn Smith parli un italiano ancora così penoso ?

#ballandoconlestelle https://t.co/t8C57oBtHW",negative,..\data\ballandoconlestelle\images\1320127149970436102.png,ballandoconlestelle,TRASH ilALIANOMOLTO SDIBELELEIBA,negative,[0.98529184 0.00254296 0.01216531]
1320112466303602693,Momento marchetta (peraltro inutile da domani) #BallandoConLeStelle https://t.co/3UQVQTeHfL,negative,..\data\ballandoconlestelle\images\1320112466303602693.png,ballandoconlestelle, ,negative,[0.84231174 0.08995105 0.06773724]
1320108750901022720,"#BallandoConLeStelle Spiegatemi questa... Mascherina abbassata, visiera alzata e che fa cucu' dal plexiglass. Ridicolo davvero. https://t.co/gRuDcZMj1I",negative,..\data\ballandoconlestelle\images\1320108750901022720.png,ballandoconlestelle, ,negative,[0.9720329  0.01048774 0.0174793 ]
1263483018079080450,#JavierRojas #amici19 io sempre più sconvolta dai tik tok di Nicolai 😅 https://t.co/5mXnNtNYS8,negative,..\data\amici19\images\1263483018079080450.png,amici19,VIPERISSIMAdla QUALCOSAQUALCOSA DI ATROCE,negative,[0.87260216 0.00789134 0.11950651]
1320103969037930497,Se qualcuno dovesse venirmi a rompere le palle che sto spammando i Got7 a #BallandoConLeStelle vi uccido https://t.co/oCwPNQOI65,negative,..\data\ballandoconlestelle\images\1320103969037930497.png,ballandoconlestelle,RETI,negative,[9.4492996e-01 5.4258104e-02 8.1199070e-04]
1106302001137225728,"Giuseppe 😢

#cheDiociaiuti5 @CheDioCiAiuti_5 https://t.co/jmrFzycqrC",negative,..\data\chediociaiuti\images\1106302001137225728.png,chediociaiuti, ,negative,[0.5953436  0.05071857 0.35393783]
1320103912175734788,@see_lallero Nelle ultime due puntate un sacco di microfoni accesi nei momenti sbagliati. C'è un problema all'audio di #BallandoConLeStelle https://t.co/LsTyXwzpeA,negative,..\data\ballandoconlestelle\images\1320103912175734788.png,ballandoconlestelle, ,negative,[0.87040967 0.06942382 0.0601665 ]
1320102155903242240,"#BallandoConLeStelle
da oggi non seguo più il kpop bsera
https://t.co/4kkraJHjvU",negative,..\data\ballandoconlestelle\images\1320102155903242240.png,ballandoconlestelle,LA,negative,[0.61719733 0.30141193 0.08139075]
1320117386062778368,Come gli piace a questo programma tornare sulle polemicheeeeeee #BallandoConLeStelle https://t.co/l4pRfooHHd,negative,..\data\ballandoconlestelle\images\1320117386062778368.png,ballandoconlestelle, ,negative,[0.964775   0.00169493 0.03353006]
1108842515707367425,Io quando vedo Ginevra denunciare Suor Angela per rapimento #CheDioCiAiuti5 @CheDioCiAiuti_5 https://t.co/HjoPHXIBzZ,negative,..\data\chediociaiuti\images\1108842515707367425.png,chediociaiuti, ,positive,[0.17607097 0.35072628 0.4732027 ]
1320340955829075969,"@milly_carlucci @Ballando_Rai Nonostante i finti gossip, le polemiche studiate a tavolino, gli infortuni (???) e tanto altro ancora... Queen Mary con Tu Si Que Vales ottiene il 26,9% con 5.476.000 telespettatori contro il 20,5% di milly con 4.211.000... Addirittura 6,4% di divario... un'autentica voragine!!! https://t.co/3zQWj4Dg2b",negative,..\data\ballandoconlestelle\images\1320340955829075969.png,ballandoconlestelle, ,negative,[0.79317    0.0715363  0.13529368]
1261399707684749314,"Giordana più punti di Umberto?
#amici19 #amicispeciale https://t.co/MRX3vWrQ96",negative,..\data\amici19\images\1261399707684749314.png,amici19,TRASH ITALIANOE iI FISSI QUI FUORI OGGI,negative,[0.8660267 0.0903433 0.04363  ]
1275393637858320386,Non doveva vincere Gaia Gozzi perché al di fuori di #Amici19 non se la caga nessuno #gaiagozzi twitter.com/spotifyxamicio… https://t.co/qByyTQ7lPw,negative,..\data\amici19\images\1275393637858320386.png,amici19, ,negative,[0.72606045 0.14847259 0.12546697]
1320120338114555904,madò con la Mussolini finiamo a mezzanotte e mezza #BallandoConLeStelle https://t.co/XODhMr7F1X,negative,..\data\ballandoconlestelle\images\1320120338114555904.png,ballandoconlestelle,ALL DF US NOV,neutral,[0.38151067 0.4284802  0.19000912]
1267946931319386118,"QUANTO DEVO ASPETTARE ANCORA???😒😒😒
#uominedonne #sammy #giovanna #alchimista #gaiagozzi #Amici19
METTO TUTTI GLI HASHTAG PERCHÉ MI DIVERTO😂 https://t.co/Iac3OnzR6U",negative,..\data\amici19\images\1267946931319386118.png,amici19,Domani si registra soloil trono overLa scelta di G,negative,[0.6577529  0.10282158 0.23942551]
1117790734667722752,"io che al giovedì mi siedo davanti a rai uno ma non parte #CheDioCiAiuti5: 
 
@CheDioCiAiuti_5 https://t.co/uf4QFeNVsY",negative,..\data\chediociaiuti\images\1117790734667722752.png,chediociaiuti, ,negative,[0.42729837 0.36064214 0.21205956]
1255197928190337027,"@MariaRo90140382 @nah96nah ah si? mi sa, però, che javier  non è l’unico che avrebbe bisogno di qualcuno per sfogare le sue frustrazioni, non credi? 
#javier #amici19 #talisa https://t.co/79Cay5iWaA",negative,..\data\amici19\images\1255197928190337027.png,amici19,GiadahsospesaGiadahsospesaplitcestlaviemacher lui ,negative,[0.41542235 0.18951274 0.39506486]
1320136202385752064,Vittoria Schisano ancora allo spareggio #BallandoConLeStelle https://t.co/A5Mar7az5a,negative,..\data\ballandoconlestelle\images\1320136202385752064.png,ballandoconlestelle,TRASH ITALIONOMA GHE STA CAFONATAP,negative,[0.9477613  0.01399377 0.03824495]
1255220424276934656,"Ancora una volta la conferma di quanto avevamo ragione su Giada. Adesso che è stata scoperta, ha dovuto eliminare tutti i suoi profili fake ma tanto ne creerà altri per continuare a fare la stalker. Ecco perché persone come lei vanno fermate. #Amici19 #Javier #Talisa https://t.co/J5w7SMIzRe",negative,..\data\amici19\images\1255220424276934656.png,amici19,licSLe EN ELpostfollowerseguitiUtente non trovatoE,negative,[0.5362908  0.3835334  0.08017574]
1320131004091277312,#BallandoConLeStelle https://t.co/v8dJ9KDTe2,negative,..\data\ballandoconlestelle\images\1320131004091277312.png,ballandoconlestelle,VIPERISSIMA,positive,[0.13757089 0.25135332 0.6110758 ]
1255072375252582401,Amici All Stars e X Factor si faranno. Ma non era meglio cancellarli per quest'anno? Amici vedrà sul palco vecchie stelle del talent che si sfideranno in una gara senza eliminazione ma con la sola classifica.  #AmiciallStars #amici19 #talentshow #XFactor marcamolymind.it/amici-all-star… https://t.co/owzMtwapQD,negative,..\data\amici19\images\1255072375252582401.png,amici19, ,neutral,[0.03711367 0.66123277 0.3016535 ]
1320111072280444931,@MartinaPozzato @ElisaIsoardi @Raimondo_Todaro @Ballando_Rai L'eleganza? La Isoardi? L'eleganza innata della Isoardi? https://t.co/09eBMneFRg,negative,..\data\ballandoconlestelle\images\1320111072280444931.png,ballandoconlestelle,VIPERISSIMAaMA DOVE,negative,[0.53695107 0.26094317 0.20210575]
1321193364117663746,"Quando è andata dal parrucchiere ha portato la foto di Milly Carlucci

#ilcollegio5 #ilcollegio #ballandoconlestelle https://t.co/c6Yoc8acz3",negative,..\data\ballandoconlestelle\images\1321193364117663746.png,ballandoconlestelle,ir,negative,[0.55612016 0.36813018 0.07574961]
1320112453288628226,Stasera alla giuria di #BallandoConLeStelle https://t.co/29XlLeBDMY,negative,..\data\ballandoconlestelle\images\1320112453288628226.png,ballandoconlestelle, ,neutral,[0.00477389 0.96700835 0.02821767]
1320144815502348290,"Ribadisco anche questa settimana :
Ma Costantino che passa alla prossima puntata senza andare allo spareggio ? ? 
#BallandoConLeStelle https://t.co/mQFQBa5sJc",negative,..\data\ballandoconlestelle\images\1320144815502348290.png,ballandoconlestelle, ,negative,[0.8194678  0.09410013 0.08643219]
1263516168872173568,"@TalisaRavagnani dove caccio è finita la sorpresa??

#amici19 #talisa https://t.co/T5Dg2IMipb",negative,..\data\amici19\images\1263516168872173568.png,amici19,GsNDO STAI,negative,[0.91637665 0.04030564 0.04331767]
1273706942758780928,Che odio questa novizia #chediociaiuti5 #chediociaiuti https://t.co/RDXNOCVtJe,negative,..\data\chediociaiuti\images\1273706942758780928.png,chediociaiuti, ,negative,[0.9949301  0.00267738 0.00239246]
1320118946285129728,"Bello sto mambo.

#BallandoConLeStelle https://t.co/eLf4AKi7I2",negative,..\data\ballandoconlestelle\images\1320118946285129728.png,ballandoconlestelle, ,positive,[0.12946638 0.07922687 0.79130673]
1255196255740989442,@cestlaviemacher @atmonicas @laszetaas @nah96nah Mi chiedo come una persona possa arrivare ad essere così invadente e offensiva #Javier #Talisa #Amici19 https://t.co/MYxCQZRVmQ,negative,..\data\amici19\images\1255196255740989442.png,amici19,CommentiNdrakygISGmequentatoper dire che come pers,negative,[0.47295564 0.1086631  0.41838124]
1320102181056483329,"Guillermo Stockman.
#BallandoConLeStelle https://t.co/l5S5bdJ8b5",negative,..\data\ballandoconlestelle\images\1320102181056483329.png,ballandoconlestelle,Sf,neutral,[0.11238042 0.5560167  0.33160296]
1320119525329829889,Fintanto non condannerà il fascismo per me è così... #BallandoConLeStelle https://t.co/ZLt2ExJMg1,negative,..\data\ballandoconlestelle\images\1320119525329829889.png,ballandoconlestelle,zn ro a,negative,[0.4982988  0.07948286 0.42221832]
1176581587867176962,"Le repliche di Che dio ci aiuti 2,e inizi a sclerare. Come vi è venuto in mente di uccidere Guido Corsi e Davide??? Comeeee??? Non lo accetteró mai. #chediociaiuti https://t.co/bAsr6PTGL7",negative,..\data\chediociaiuti\images\1176581587867176962.png,chediociaiuti, ,negative,[9.9566537e-01 5.5098924e-05 4.2795474e-03]
1185518822339600385,"Ed io ancora non mi sono ripresa, ancora non l’ho accettato 💔
#CheDioCiAiuti5 #CheDioCiAiuti https://t.co/vmfUXvjQfQ",negative,..\data\chediociaiuti\images\1185518822339600385.png,chediociaiuti, ,negative,[0.6276911  0.1981087  0.17420025]
1320118874336075777,"#BallandoConLeStelle Per @Ale_Mussolini_ questo sarebbe il momento giusto per uscire.

@fabiocaninoreal @Ballando_Rai @CarolynSmith51 @milly_carlucci @zazzaroni #mariotto @paolobelliswing @RaiUno @stanzaselvaggia @albmatano @RobertaBruzzone https://t.co/ScwyBeRObm",negative,..\data\ballandoconlestelle\images\1320118874336075777.png,ballandoconlestelle,Fai schifo,negative,[0.55123776 0.23870066 0.21006155]
1263971093842444293,"Ricordiamo Rudy cosi: ""Se io dovessi venire ad un tuo concerto alla terza canzone me ne andrei perchè ho già sentito tutto"" 
#giordanaangi #amici19 #amicispeciali https://t.co/WfU5x7EtP2",negative,..\data\amici19\images\1263971093842444293.png,amici19, ,neutral,[0.00741259 0.970064   0.02252339]
1268561938231054337,"Perché dovete continuare a devastare una fiction partita benissimo e che avete trasformato con il tempo nella brutta versione di Centoventrine? 
P.S. Franci Chillemi, io ti amo tantissimo, ma anche basta! 
#cdca6 #chediociaiuti https://t.co/GT2LZBoCDb",negative,..\data\chediociaiuti\images\1268561938231054337.png,chediociaiuti,Tanto lo sappiamoche andato tutto a puttane no,negative,[0.75904    0.03706082 0.20389923]
1320103314021863431,"#BallandoConLeStelle
Mariotto è in andropausa! https://t.co/BNZA9mPSZf",negative,..\data\ballandoconlestelle\images\1320103314021863431.png,ballandoconlestelle,LandropausaP,neutral,[0.13613513 0.6968153  0.16704956]
1320101785718181889,"Mariotto pazzo col botto totalmente fuori controllo 
#BallandoConLeStelle https://t.co/DW7YUEXTCz",negative,..\data\ballandoconlestelle\images\1320101785718181889.png,ballandoconlestelle, ,negative,[0.48586434 0.1714581  0.34267762]
1258710848786358272,MA IN CHE SENSO LA CELENTANO NON SARÀ TRA I PROFESSORI IL PROSSIMO ANNO? MA STIAMO SCHERZANDO? MARIA NON CAGARE FUORI DAL VASINO #amici19 https://t.co/Kyjbgh122j,negative,..\data\amici19\images\1258710848786358272.png,amici19,VIPERISSIMASCUSAMI CHE COSA STAI DICENDO,negative,[0.9947778  0.00116289 0.00405937]
1285277870395461632,dopo una maratona di #chediociaiuti non credo di aver mai assistito ad un finale tanto traumatico quanto quello della quinta stagione. https://t.co/SGqBVQ1y62,negative,..\data\chediociaiuti\images\1285277870395461632.png,chediociaiuti,AMEN,negative,[0.78258973 0.04108134 0.17632903]
1320125313402241024,@MelissaRCaruso @cherryxhobi @almond_hjs @Ballando_Rai @CdGherardesca @Saradivaira Uno a caso che non capisce niente https://t.co/xjfSSrgmN8,negative,..\data\ballandoconlestelle\images\1320125313402241024.png,ballandoconlestelle,oguo ITEAh ansaitELasicniANSA Viaggi ArtCostantino,negative,[0.5310135  0.36771274 0.10127372]
1320120103082610689,"Eccoci, nuovo show della Mussolini #BallandoConLeStelle https://t.co/c5frpdVQM4",negative,..\data\ballandoconlestelle\images\1320120103082610689.png,ballandoconlestelle,AND YET HERE YOU ARE,neutral,[0.2979447  0.44829834 0.25375697]
1259060837064589312,"Ogni riferimento è puramente NON casuale.
#giordanaangi #amici19 #amicispeciali https://t.co/nIgjVYsVz2",negative,..\data\amici19\images\1259060837064589312.png,amici19,IL SCIACQUI LA BOCCA Pol PARLI,negative,[0.52965206 0.39549643 0.07485154]
1320766389196591104,"Una trasmissione come @Ballando_Rai di @milly_carlucci non può trovarsi in questa situazione. 
@guglielmomariotto che da della "" CICCIONA"" a Rossella Erra in diretta a @storie_italiane 
Questo si chiama #bodyshaming

#curvypride https://t.co/7Xht0IIZ2z",negative,..\data\ballandoconlestelle\images\1320766389196591104.png,ballandoconlestelle,uda,neutral,[0.4151805  0.5457025  0.03911698]
1263936725673533441,"MA L’ABBAGNATO NON PREFERIVA NICOLAI AD JAVIER AD #Amici19?!
ORA INVECE HA CAMBIATO IDEA.
Che potere hanno i soldi mamma mia.

IO NON DIMENTICO.

#AmiciSpeciali https://t.co/PXXdDlIwta",negative,..\data\amici19\images\1263936725673533441.png,amici19,ffDA,negative,[0.7197368  0.21025398 0.07000928]
1320121824571760641,"Mamma che pesantezza la Lucarelli. 
Ma spegnetela, sempre a fare polemica 
#Ballandoconlestelle https://t.co/MyW5d1BWv6",negative,..\data\ballandoconlestelle\images\1320121824571760641.png,ballandoconlestelle,NON SE NE PU,negative,[0.9651684  0.02149347 0.01333805]
1320101990479892480,Mariotto che da 10... MAH. #BallandoConLeStelle https://t.co/RgNYSouQ3P,negative,..\data\ballandoconlestelle\images\1320101990479892480.png,ballandoconlestelle, ,positive,[0.37575355 0.23085214 0.39339435]
1320114231891664896,@stanzaselvaggia @Ballando_Rai Farai un articolo contro Mariotto (come con Balotelli) x le frasi oscene e sessiste nei confronti di Elisa Isoardi o ti scandalizzi a fasi alterne e solo quando ti conviene??? https://t.co/9cwwAd8pyT,negative,..\data\ballandoconlestelle\images\1320114231891664896.png,ballandoconlestelle,duTRASH ITALIANOCHISSA COME MAI,negative,[0.93884414 0.04957402 0.0115818 ]
1320303817204838400,impossibile da battere #tsqv... quindi magari provare a fare uno show sul ballo e non sulle minchiate di Mariotto e sui suoi deliri. si balla poco e si fanno molte inutili polemiche... #AscoltiTv @Ballando_Rai https://t.co/fXx5fIngnD,negative,..\data\ballandoconlestelle\images\1320303817204838400.png,ballandoconlestelle, ,negative,[0.8335601  0.05093199 0.11550783]
1320105767358386177,"Ma sta bene Mariotto
#BallandoConLeStelle https://t.co/8sutqYNi8R",negative,..\data\ballandoconlestelle\images\1320105767358386177.png,ballandoconlestelle, ,positive,[0.32432553 0.28289026 0.39278415]
1320119819291774976,Quanto rosica la Lucarelli che la Mussolini raccolga complimenti da parte di Carolyn #BallandoConLeStelle https://t.co/99SSizDoZI,negative,..\data\ballandoconlestelle\images\1320119819291774976.png,ballandoconlestelle, ,negative,[0.97449356 0.00399747 0.02150902]
1320117195171598337,"SPERO CHE IL PARENTE CHE HAI TANTO A CUORE NON SIA QUELLO
#BallandoConLeStelle https://t.co/lGfA91hI4C",negative,..\data\ballandoconlestelle\images\1320117195171598337.png,ballandoconlestelle,I,neutral,[0.19452718 0.5264055  0.27906725]
1260970080738967554,"Giordana: “la mia squadra è formata da componenti che sono concorrenti”

#amici19 #amicispeciali #giordanaangi https://t.co/RSf4ffFFcr",negative,..\data\amici19\images\1260970080738967554.png,amici19, ,negative,[0.50384295 0.15702847 0.33912858]
1320103129967431682,"#BallandoConLeStelle #mariotto @milly_carlucci @stanzaselvaggia @Ballando_Rai 
Ma perché non lo mandano a quel paese???!! È un gran maleducato e presuntuos👎👎👎👎😱😨🤬🥵🥶😡 https://t.co/URHRRZ7TGC",negative,..\data\ballandoconlestelle\images\1320103129967431682.png,ballandoconlestelle, ,neutral,[0.24901633 0.4978348  0.2531489 ]
1261755960877633536,"MA COSA HA COMBINATO😱
Di come cantava lui mi piacevano solo i capelli🤦 #AmiciSpeciali #amici19 https://t.co/xRLaqGq5CY",negative,..\data\amici19\images\1261755960877633536.png,amici19,aboutril,negative,[0.36634535 0.28454536 0.3491093 ]
1320133440084246529,#BallandoConLeStelle tesoretto a #costantino?  dai su anche basta!! https://t.co/ar6RB72BJK,negative,..\data\ballandoconlestelle\images\1320133440084246529.png,ballandoconlestelle,NVOURE FIRED,negative,[0.5105641 0.2106449 0.278791 ]
1320124831388532741,Ma fanno finta di non ricordarsi con chi andava a letto il marito della Mussolini?che età avevano quelle ragazze? #BallandoConLeStelle https://t.co/N2evHguIue,negative,..\data\ballandoconlestelle\images\1320124831388532741.png,ballandoconlestelle,NE DAI SUI,negative,[0.93438995 0.04743009 0.01817996]
1259792732060598272,Dalle 12 che smadonno per un'intervista che non si sente e poi scopro che stanno pure scazzando i vocali #Amici19 #AmiciDiNeno https://t.co/inPwtfSjYz,negative,..\data\amici19\images\1259792732060598272.png,amici19,Vorrei piangere per rido,negative,[0.8572038  0.07124218 0.07155403]
1320124467167756288,"Dopo 15 stagioni (è l’unico giurato ad essersi fatto TUTTE le edizioni), credo sia davvero giunta l’ora di sfanculare #Mariotto da #BallandoConLeStelle - basta basta basta https://t.co/J5u36ZsoHN",negative,..\data\ballandoconlestelle\images\1320124467167756288.png,ballandoconlestelle, ,positive,[0.00604332 0.00372796 0.9902288 ]
1320136914972954624,"Non è giusto lo spareggio tra Vittoria e Rosalinda😡
#BallandoConLeStelle https://t.co/pTMKlDhnpH",negative,..\data\ballandoconlestelle\images\1320136914972954624.png,ballandoconlestelle,TRASH ITALIONOGHE GAZZO FATE,negative,[0.9685621  0.01189191 0.01954589]
1320125788075757575,#ballandoconlestelle https://t.co/8DpXYT1vVv,negative,..\data\ballandoconlestelle\images\1320125788075757575.png,ballandoconlestelle,FILI NOVEMBRE IN PERSONA,negative,[0.5367507  0.30760103 0.15564832]
1320131565087842304,Io tutte le volte che vedo i capelli di Red Canzian #BallandoConLeStelle https://t.co/HOcc487uVl,negative,..\data\ballandoconlestelle\images\1320131565087842304.png,ballandoconlestelle, ,positive,[0.04008584 0.37547913 0.58443505]
1258819559735336960,"GIULYMOL IN OGNI INTERVISTA:
""CERCO SEMPRE DI ESSERE ATTIVA SU INSTAGRAM E DI TENERE COMPAGNIA CON LE DIRETTE""
NOI TUTTI:
#Amici19 #giuliamolino https://t.co/OAIT8z9vtQ",negative,..\data\amici19\images\1258819559735336960.png,amici19,nun simm scem clarouv,neutral,[0.0508059  0.9281805  0.02101357]
1320101678687883265,Mariotto da 2 a Gilles e 10 a Costantino... #BallandoConLeStelle https://t.co/ImwZDjIwhi,negative,..\data\ballandoconlestelle\images\1320101678687883265.png,ballandoconlestelle,TRASH ITALIANOMA VAFFANCULO VA,negative,[0.99382293 0.00313091 0.00304615]
1320103488513343489,"È vero, Costantino è avanguardia e contemporaneità, però dare 2 a Gilles che balla veramente bene e dare 10 a Costantino che fa solo spettacolo
🅰️🅾️ Mariotto, il vino ti è andato alla testa. 
#BallandoConLeStelle https://t.co/MgHXIq2spQ",negative,..\data\ballandoconlestelle\images\1320103488513343489.png,ballandoconlestelle,n eTuxiBASTA,negative,[0.8005431  0.00308882 0.19636805]
1103772951831343104,@Giulia1991_ @CheDioCiAiuti_5 Mi metto nell'angolino a piangere https://t.co/jtkntDmLlR,negative,..\data\chediociaiuti\images\1103772951831343104.png,chediociaiuti, ,negative,[0.7357997  0.05418275 0.21001755]
1320121436678295552,"""Noi donne ecc. ecc.""
#ballandoconlestelle https://t.co/zgQSnCmlBp",negative,..\data\ballandoconlestelle\images\1320121436678295552.png,ballandoconlestelle, ,neutral,[0.3329715  0.4341957  0.23283279]
